request_id,target_company_raw,target_company_canonical_key,declared_path_found_flag,declared_status,derived_state,routed,connector_asked,deal_value_usd,urgency,n_paths_time_aware,n_paths_snapshot,n_connectors_time_aware,n_connectors_snapshot,time_aware_via_export,time_aware_via_investor,snapshot_only_investor_paths,time_aware_same_title_family,connectors_time_aware,used_connector_was_observable,used_connector_was_only_observable_path,alternatives_to_used_connector
R1154,Apex Logistics Group,apexlogistics,Path found,Stalled,intro_sent,True,Marcus Aldridge,2000000,Critical,3,4,2,3,3,0,1,0,Elena Duvall; Marcus Aldridge,True,False,1
R1155,Vireo Systems,vireosystems,,Intro sent,asked_awaiting_connector_response,True,Elena Duvall,1200000,Low,2,4,2,4,2,0,2,0,Elena Duvall; Marcus Aldridge,True,False,1
R1156,Wrenfield Robotics,wrenfieldrobotics,Unknown,Routed,intro_sent,True,Priya Raghunathan,1200000,High,2,3,2,3,1,1,1,0,Priya Raghunathan; Saoirse Prendergast,True,False,1
R1157,Harrowgate Health,harrowgatehealth,Unknown,Stalled,connector_responded_no_intro_recorded,True,Tomás Beckett,750000,Medium,8,8,7,7,6,2,0,0,Amara Thackeray; Dana Whitfield; Ingrid Marchetti; Marcus Aldridge; Owen Trask; Priya Raghunathan; Tomás Beckett,True,False,6
R1158,Gravenhurst Motors,gravenhurstmotors,Unknown,Open,declared_only:Open,False,,750000,Critical,3,5,3,4,2,1,2,2,Elena Duvall; Priya Fairweather; Priya Raghunathan,False,False,3
R1159,,,,Open,declared_only:Open,False,,1200000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1160,Gravenhurst Motors,gravenhurstmotors,Path found,Closed - no path,intro_sent,True,Priya Raghunathan,150000,High,3,5,3,4,2,1,2,0,Elena Duvall; Priya Fairweather; Priya Raghunathan,True,False,2
R1161,Northwind Freight,northwindfreight,No path found,Routed,declared_only:Routed,False,,80000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1162,,,,Open,asked_awaiting_connector_response,True,Marcus Aldridge,80000,High,0,0,0,0,0,0,0,0,,False,False,0
R1163,Osric Networks,osricnetworks,No path found,Open,opportunity_created,True,Elena Duvall,400000,High,0,3,0,3,0,0,3,0,,False,False,0
R1164,,,Unknown,Intro sent,declared_only:Intro sent,False,,150000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1165,Pemberton Retail,pembertonretail,,Open,declared_only:Open,False,,80000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1166,Vireo Systems,vireosystems,Path found,Closed - no path,connector_responded_no_intro_recorded,True,Elena Duvall,750000,High,1,4,1,4,1,0,2,0,Marcus Aldridge,False,False,1
R1167,Osric Networks,osricnetworks,No path found,Stalled,meeting_booked,True,Priya Raghunathan,250000,Critical,0,3,0,3,0,0,3,0,,False,False,0
R1168,Meridian Peak Foods,meridianpeakfoods,Path found,Open,opportunity_created,True,Priya Raghunathan,750000,Medium,3,4,3,4,3,0,1,0,Dana Whitfield; Owen Trask; Priya Raghunathan,True,False,2
R1169,Yarrowdale Media,yarrowdalemedia,No path found,Stalled,asked_awaiting_connector_response,True,Bertrand Vandermolen,150000,High,2,3,2,3,2,0,1,0,Priya Raghunathan; Tomás Beckett,False,False,2
R1170,Osric Networks,osricnetworks,No path found,Open,declared_only:Open,False,,1200000,High,0,3,0,3,0,0,3,0,,False,False,0
R1171,Kingsmere Retail Group,kingsmereretail,,Open,intro_sent,True,Dana Whitfield,1200000,Medium,5,5,5,5,4,1,0,0,Dana Whitfield; Kofi Mkhize; Owen Trask; Priya Raghunathan; Tomás Beckett,True,False,4
R1172,Meridian Peak Foods,meridianpeakfoods,Path found,Intro sent,asked_awaiting_connector_response,True,Priya Raghunathan,150000,High,3,4,3,4,3,0,1,0,Dana Whitfield; Owen Trask; Priya Raghunathan,True,False,2
R1173,Harrowgate Health,harrowgatehealth,Unknown,Intro sent,declared_only:Intro sent,False,,150000,Medium,7,8,6,7,5,2,0,0,Amara Thackeray; Dana Whitfield; Ingrid Marchetti; Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,6
R1174,Priorwood Chemicals,priorwoodchemicals,Unknown,Open,declared_only:Open,False,,150000,Critical,6,7,5,6,4,2,1,0,Curtis Marchetti; Elena Duvall; Marcus Aldridge; Margot Havercamp; Tomás Beckett,False,False,5
R1175,Copperline Water,copperlinewater,No path found,Closed - no path,declared_only:Closed - no path,False,,80000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1176,Pelham Beverage,pelhambeverage,No path found,Stalled,opportunity_created,True,Imani Mkhize,400000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1177,,,No path found,Open,declared_only:Open,False,,2000000,Medium,0,0,0,0,0,0,0,0,,False,False,0
R1178,Quillon Pharma,quillonpharma,Path found,Closed - no path,declared_only:Closed - no path,False,,750000,High,9,13,6,10,7,2,3,0,Casper Bellinger; Elena Duvall; Kian Merriweather; Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,6
R1179,Blackwood Industrial,blackwoodindustrial,Path found,Open,declared_only:Open,False,,250000,High,4,7,4,6,3,1,1,0,Elena Duvall; Marcus Højgaard; Owen Trask; Tomás Beckett,False,False,4
R1180,Thornbury Financial,thornburyfinancial,No path found,Routed,declared_only:Routed,False,,2000000,High,0,0,0,0,0,0,0,0,,False,False,0
R1181,,,,Closed - no path,declared_only:Closed - no path,False,,400000,High,0,0,0,0,0,0,0,0,,False,False,0
R1182,,,No path found,Open,declared_only:Open,False,,2000000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1183,,,Unknown,Open,declared_only:Open,False,,750000,High,0,0,0,0,0,0,0,0,,False,False,0
R1184,Cindermill Mining,cindermillmining,,Open,declared_only:Open,False,,750000,Critical,7,8,5,6,6,1,1,0,Bertrand Glückstein; Elena Duvall; Marcus Aldridge; Owen Trask; Tomás Beckett,False,False,5
R1185,Gravenhurst Motors,gravenhurstmotors,Path found,Stalled,intro_sent,True,Priya Raghunathan,1200000,High,3,5,3,4,2,1,2,0,Elena Duvall; Priya Fairweather; Priya Raghunathan,True,False,2
R1186,,,,Open,intro_sent,True,Marcus Aldridge,1200000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1187,Ashgrove Agriculture,ashgroveagriculture,No path found,Open,connector_responded_no_intro_recorded,True,Priya Raghunathan,400000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1188,Northwind Freight,northwindfreight,Unknown,Stalled,declared_only:Stalled,False,,80000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1189,Marrow Point Airways,marrowpointairways,Unknown,Open,declared_only:Open,False,,750000,Medium,0,0,0,0,0,0,0,0,,False,False,0
R1190,Brightmoor Energy,brightmoorenergy,,Routed,connector_responded_no_intro_recorded,True,Elena Duvall,1200000,Critical,2,2,2,2,1,1,0,0,Elena Duvall; Idris Drummond,True,False,1
R1191,Volney Industrial Systems,volneyindustrialsystems,,Stalled,declared_only:Stalled,False,,2000000,High,0,4,0,4,0,0,4,0,,False,False,0
R1192,Priorwood Chemicals,priorwoodchemicals,Unknown,Intro sent,opportunity_created,True,Tomás Beckett,2000000,High,6,7,5,6,4,2,1,0,Curtis Marchetti; Elena Duvall; Marcus Aldridge; Margot Havercamp; Tomás Beckett,True,False,4
R1193,Kingsmere Retail Group,kingsmereretail,Path found,Stalled,declared_only:Stalled,False,,250000,Low,5,5,5,5,4,1,0,0,Dana Whitfield; Kofi Mkhize; Owen Trask; Priya Raghunathan; Tomás Beckett,False,False,5
R1194,Marrow Point Airways,marrowpointairways,Unknown,Open,declared_only:Open,False,,750000,High,0,0,0,0,0,0,0,0,,False,False,0
R1195,,,Path found,Open,declared_only:Open,False,,1200000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1196,Priorwood Chemicals,priorwoodchemicals,Unknown,Stalled,meeting_booked,True,Tomás Beckett,1200000,Medium,6,7,5,6,4,2,1,2,Curtis Marchetti; Elena Duvall; Marcus Aldridge; Margot Havercamp; Tomás Beckett,True,False,4
R1197,Apex Logistics,apexlogistics,Unknown,Intro sent,connector_responded_no_intro_recorded,True,Elena Duvall,250000,Low,3,4,2,3,3,0,1,0,Elena Duvall; Marcus Aldridge,True,False,1
R1198,Quillon Pharma,quillonpharma,Unknown,Closed - no path,declared_only:Closed - no path,False,,750000,Critical,9,13,6,10,7,2,3,0,Casper Bellinger; Elena Duvall; Kian Merriweather; Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,6
R1199,Vireo Systems,vireosystems,Path found,Open,asked_awaiting_connector_response,True,Elena Duvall,750000,High,1,4,1,4,1,0,2,0,Marcus Aldridge,False,False,1
R1200,,,,Open,declared_only:Open,False,,750000,Medium,0,0,0,0,0,0,0,0,,False,False,0
