person_key,identity_basis,normalized_name,display_name,profile_urls,organizations,titles,appears_in_exports,export_rows,distinct_orgs,conflicting_affiliation,missing_profile_url
linkedin.com/in/coretta-ferreira-prendergast-1521,profile_url,coretta ferreira prendergast,Coretta Ferreira-Prendergast,linkedin.com/in/coretta-ferreira-prendergast-1521,Elmsworth Tutors,Platform Lead,Owen Trask,1,1,False,0
linkedin.com/in/coretta-fontaine-1152,profile_url,coretta fontaine,Coretta Fontaine,linkedin.com/in/coretta-fontaine-1152,Inglenook Bakery,Program Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-gluckstein-5272,profile_url,coretta gluckstein,Coretta Glückstein,linkedin.com/in/coretta-gluckstein-5272,Bellchamber Media,Platform Lead,Dana Whitfield,1,1,False,0
linkedin.com/in/coretta-grimsby-5523,profile_url,coretta grimsby,Coretta Grimsby,linkedin.com/in/coretta-grimsby-5523,Whitlock Staffing,SVP Digital,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-grimsby-jarrold-2770,profile_url,coretta grimsby jarrold,Coretta Grimsby-Jarrold,linkedin.com/in/coretta-grimsby-jarrold-2770,Zenner Foods,Platform Lead,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-halloran-3269,profile_url,coretta halloran,Coretta Halloran,linkedin.com/in/coretta-halloran-3269,Pale Harbour Studio,Program Manager,Priya Raghunathan,1,1,False,0
linkedin.com/in/coretta-hartigan-7546,profile_url,coretta hartigan,Coretta Hartigan,linkedin.com/in/coretta-hartigan-7546,Bellchamber Media,Principal Architect,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-havercamp-8043,profile_url,coretta havercamp,Coretta Havercamp,linkedin.com/in/coretta-havercamp-8043,Corbridge Realty,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-hojgaard-2810,profile_url,coretta hojgaard,Coretta Højgaard,linkedin.com/in/coretta-hojgaard-2810,Ondermark Consulting,Staff Engineer,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-ibarra-6869,profile_url,coretta ibarra,Coretta Ibarra,linkedin.com/in/coretta-ibarra-6869,Bellchamber Media,Product Director,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-ibarra-quillane-3262,profile_url,coretta ibarra quillane,Coretta Ibarra-Quillane,linkedin.com/in/coretta-ibarra-quillane-3262,Elmsworth Tutors,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-ingleby-4355,profile_url,coretta ingleby,Coretta Ingleby,linkedin.com/in/coretta-ingleby-4355,Elmsworth Tutors,Program Manager,Priya Raghunathan,1,1,False,0
linkedin.com/in/coretta-isenberg-9962,profile_url,coretta isenberg,Coretta Isenberg,linkedin.com/in/coretta-isenberg-9962,Dunmowe Travel,Platform Lead,Dana Whitfield,1,1,False,0
linkedin.com/in/coretta-isenberg-quillane-7974,profile_url,coretta isenberg quillane,Coretta Isenberg-Quillane,linkedin.com/in/coretta-isenberg-quillane-7974,Dunmowe Travel,Principal Architect,Elena Duvall,1,1,False,0
name:coretta jarrold,name_only,coretta jarrold,Coretta Jarrold,,Quintrell Advisory,Program Manager,Marcus Aldridge,1,1,False,1
linkedin.com/in/coretta-kettleborough-3066,profile_url,coretta kettleborough,Coretta Kettleborough,linkedin.com/in/coretta-kettleborough-3066,Xanthe Labs,VP Enterprise Architecture,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-kettleborough-falkenrath-5191,profile_url,coretta kettleborough falkenrath,Coretta Kettleborough-Falkenrath,linkedin.com/in/coretta-kettleborough-falkenrath-5191,Garrowby Books,Director of Software Engineering,Elena Duvall,1,1,False,0
name:coretta kirkbride,name_only,coretta kirkbride,Coretta Kirkbride,,Dunmowe Travel,Principal Architect,Marcus Aldridge,1,1,False,1
linkedin.com/in/coretta-kirkbride-petrossian-9540,profile_url,coretta kirkbride petrossian,Coretta Kirkbride-Petrossian,linkedin.com/in/coretta-kirkbride-petrossian-9540,Tannerly Design,Head of Developer Productivity,Owen Trask,1,1,False,0
linkedin.com/in/coretta-lindqvist-1686,profile_url,coretta lindqvist,Coretta Lindqvist,linkedin.com/in/coretta-lindqvist-1686,Yardley Print,Staff Engineer,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-lomsadze-2743,profile_url,coretta lomsadze,Coretta Lomsadze,linkedin.com/in/coretta-lomsadze-2743,Fairbourne Fitness,Principal Architect,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-lomsadze-fontaine-6255,profile_url,coretta lomsadze fontaine,Coretta Lomsadze-Fontaine,linkedin.com/in/coretta-lomsadze-fontaine-6255,Zenner Foods,VP Enterprise Architecture,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-marchetti-6835,profile_url,coretta marchetti,Coretta Marchetti,linkedin.com/in/coretta-marchetti-6835,Bellchamber Media,Director of IT,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-marchetti-dobrescu-5646,profile_url,coretta marchetti dobrescu,Coretta Marchetti-Dobrescu,linkedin.com/in/coretta-marchetti-dobrescu-5646,Vespermill Analytics,Director of IT,Elena Duvall,1,1,False,0
linkedin.com/in/coretta-marchetti-ferreira-5299,profile_url,coretta marchetti ferreira,Coretta Marchetti-Ferreira,linkedin.com/in/coretta-marchetti-ferreira-5299,Whitlock Staffing,Chief Digital Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-merriweather-2020,profile_url,coretta merriweather,Coretta Merriweather,linkedin.com/in/coretta-merriweather-2020,Inglenook Bakery,Program Manager,Tomás Beckett,1,1,False,0
name:coretta merriweather fairweather,name_only,coretta merriweather fairweather,Coretta Merriweather-Fairweather,,Ambrose Trading,Product Director,Owen Trask,1,1,False,1
linkedin.com/in/coretta-mkhize-9051,profile_url,coretta mkhize,Coretta Mkhize,linkedin.com/in/coretta-mkhize-9051,Corbridge Realty,Director of IT,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-nakashima-7644,profile_url,coretta nakashima,Coretta Nakashima,linkedin.com/in/coretta-nakashima-7644,Inglenook Bakery,Head of Automation,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-nakashima-wolstenholme-1740,profile_url,coretta nakashima wolstenholme,Coretta Nakashima-Wolstenholme,linkedin.com/in/coretta-nakashima-wolstenholme-1740,Xanthe Labs,Director of Software Engineering,Elena Duvall,1,1,False,0
name:coretta norrington,name_only,coretta norrington,Coretta Norrington,,Yardley Print,Engineering Manager,Marcus Aldridge,1,1,False,1
linkedin.com/in/coretta-okonkwo-5745,profile_url,coretta okonkwo,Coretta Okonkwo,linkedin.com/in/coretta-okonkwo-5745,Bellchamber Media,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-okonkwo-jarrold-9430,profile_url,coretta okonkwo jarrold,Coretta Okonkwo-Jarrold,linkedin.com/in/coretta-okonkwo-jarrold-9430,Yardley Print,Chief Technology Officer,Owen Trask,1,1,False,0
linkedin.com/in/coretta-oldfield-4555,profile_url,coretta oldfield,Coretta Oldfield,linkedin.com/in/coretta-oldfield-4555,Elmsworth Tutors,VP Engineering,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-oyelaran-7515,profile_url,coretta oyelaran,Coretta Oyelaran,linkedin.com/in/coretta-oyelaran-7515,Garrowby Books,Chief Digital Officer,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-petrossian-2021,profile_url,coretta petrossian,Coretta Petrossian,linkedin.com/in/coretta-petrossian-2021,Corbridge Realty,"Senior Manager, Engineering",Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-prendergast-5940,profile_url,coretta prendergast,Coretta Prendergast,linkedin.com/in/coretta-prendergast-5940,Highmoor Cycles,"Senior Manager, Engineering",Dana Whitfield,1,1,False,0
linkedin.com/in/coretta-prendergast-norrington-8131,profile_url,coretta prendergast norrington,Coretta Prendergast-Norrington,linkedin.com/in/coretta-prendergast-norrington-8131,Highmoor Cycles,Engineering Manager,Owen Trask,1,1,False,0
linkedin.com/in/coretta-quillane-3299,profile_url,coretta quillane,Coretta Quillane,linkedin.com/in/coretta-quillane-3299,Fairbourne Fitness,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-quillane-salcedo-2601,profile_url,coretta quillane salcedo,Coretta Quillane-Salcedo,linkedin.com/in/coretta-quillane-salcedo-2601,Rooksby Legal,Head of Automation,Tomás Beckett,1,1,False,0
name:coretta rushworth,name_only,coretta rushworth,Coretta Rushworth,,Tannerly Design,Principal Architect,Priya Raghunathan,1,1,False,1
linkedin.com/in/coretta-salcedo-9290,profile_url,coretta salcedo,Coretta Salcedo,linkedin.com/in/coretta-salcedo-9290,Vespermill Analytics,VP Data & Analytics,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-salcedo-marchetti-5942,profile_url,coretta salcedo marchetti,Coretta Salcedo-Marchetti,linkedin.com/in/coretta-salcedo-marchetti-5942,Zenner Foods,Director of IT,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-sandoval-8068,profile_url,coretta sandoval,Coretta Sandoval,linkedin.com/in/coretta-sandoval-8068,Corbridge Realty,Staff Engineer,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-thackeray-2566,profile_url,coretta thackeray,Coretta Thackeray,linkedin.com/in/coretta-thackeray-2566,Underwood & Vale,Head of Innovation,Dana Whitfield,1,1,False,0
linkedin.com/in/coretta-underhill-1871,profile_url,coretta underhill,Coretta Underhill,linkedin.com/in/coretta-underhill-1871,Dunmowe Travel,Program Manager,Dana Whitfield,1,1,False,0
linkedin.com/in/coretta-vandermolen-2856,profile_url,coretta vandermolen,Coretta Vandermolen,linkedin.com/in/coretta-vandermolen-2856,Ondermark Consulting,Program Manager,Priya Raghunathan,1,1,False,0
linkedin.com/in/coretta-vandermolen-havercamp-2768,profile_url,coretta vandermolen havercamp,Coretta Vandermolen-Havercamp,linkedin.com/in/coretta-vandermolen-havercamp-2768,Inglenook Bakery,Principal Architect,Tomás Beckett,1,1,False,0
linkedin.com/in/coretta-vasquez-9413,profile_url,coretta vasquez,Coretta Vasquez,linkedin.com/in/coretta-vasquez-9413,Ambrose Trading,Director of IT,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-vasquez-norrington-4367,profile_url,coretta vasquez norrington,Coretta Vasquez-Norrington,linkedin.com/in/coretta-vasquez-norrington-4367,Inglenook Bakery,Head of Innovation,Elena Duvall,1,1,False,0
linkedin.com/in/coretta-wexford-2370,profile_url,coretta wexford,Coretta Wexford,linkedin.com/in/coretta-wexford-2370,Tannerly Design,Director of IT,Marcus Aldridge,1,1,False,0
name:coretta wolstenholme,name_only,coretta wolstenholme,Coretta Wolstenholme,,Ambrose Trading,Head of Automation,Dana Whitfield,1,1,False,1
linkedin.com/in/coretta-yarrow-7395,profile_url,coretta yarrow,Coretta Yarrow,linkedin.com/in/coretta-yarrow-7395,Yardley Print,Head of Automation,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-zettergren-1451,profile_url,coretta zettergren,Coretta Zettergren,linkedin.com/in/coretta-zettergren-1451,Tannerly Design,Engineering Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/coretta-zubkov-2203,profile_url,coretta zubkov,Coretta Zubkov,linkedin.com/in/coretta-zubkov-2203,Xanthe Labs,"Senior Manager, Engineering",Tomás Beckett,1,1,False,0
name:curtis achterberg,name_only,curtis achterberg,Curtis Achterberg,,Ambrose Trading,Head of Automation,Marcus Aldridge,1,1,False,1
linkedin.com/in/curtis-achterberg-fontaine-3496,profile_url,curtis achterberg fontaine,Curtis Achterberg-Fontaine,linkedin.com/in/curtis-achterberg-fontaine-3496,Inglenook Bakery,Chief Operating Officer,Elena Duvall,1,1,False,0
linkedin.com/in/curtis-ashdown-1634,profile_url,curtis ashdown,Curtis Ashdown,linkedin.com/in/curtis-ashdown-1634,Xanthe Labs,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-ashdown-ibarra-9531,profile_url,curtis ashdown ibarra,Curtis Ashdown-Ibarra,linkedin.com/in/curtis-ashdown-ibarra-9531,Corbridge Realty,Head of Automation,Elena Duvall,1,1,False,0
linkedin.com/in/curtis-balogun-2164,profile_url,curtis balogun,Curtis Balogun,linkedin.com/in/curtis-balogun-2164,Whitlock Staffing,Engineering Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-bellinger-9445,profile_url,curtis bellinger,Curtis Bellinger,linkedin.com/in/curtis-bellinger-9445,Elmsworth Tutors,Program Manager,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-brenneman-1210,profile_url,curtis brenneman,Curtis Brenneman,linkedin.com/in/curtis-brenneman-1210,Zenner Foods,SVP Digital,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-brenneman-fairweather-7259,profile_url,curtis brenneman fairweather,Curtis Brenneman-Fairweather,linkedin.com/in/curtis-brenneman-fairweather-7259,Yardley Print,Staff Engineer,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-cardoso-7655,profile_url,curtis cardoso,Curtis Cardoso,linkedin.com/in/curtis-cardoso-7655,Zenner Foods,Head of Automation,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-cathcart-1351,profile_url,curtis cathcart,Curtis Cathcart,linkedin.com/in/curtis-cathcart-1351,Dunmowe Travel,SVP Digital,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-cathcart-halloran-5001,profile_url,curtis cathcart halloran,Curtis Cathcart-Halloran,linkedin.com/in/curtis-cathcart-halloran-5001,Highmoor Cycles,Product Director,Owen Trask,1,1,False,0
linkedin.com/in/curtis-crowther-9605,profile_url,curtis crowther,Curtis Crowther,linkedin.com/in/curtis-crowther-9605,Ondermark Consulting,Director of Software Engineering,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-crowther-havercamp-4322,profile_url,curtis crowther havercamp,Curtis Crowther-Havercamp,linkedin.com/in/curtis-crowther-havercamp-4322,Bellchamber Media,Principal Architect,Elena Duvall,1,1,False,0
linkedin.com/in/curtis-dellinger-7489,profile_url,curtis dellinger,Curtis Dellinger,linkedin.com/in/curtis-dellinger-7489,Fairbourne Fitness,Head of Innovation,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-dobrescu-9547,profile_url,curtis dobrescu,Curtis Dobrescu,linkedin.com/in/curtis-dobrescu-9547,Rooksby Legal,Program Manager,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-drummond-2841,profile_url,curtis drummond,Curtis Drummond,linkedin.com/in/curtis-drummond-2841,Ondermark Consulting,VP Enterprise Architecture,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-eastcott-9012,profile_url,curtis eastcott,Curtis Eastcott,linkedin.com/in/curtis-eastcott-9012,Underwood & Vale,SVP Digital,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-egerton-1538,profile_url,curtis egerton,Curtis Egerton,linkedin.com/in/curtis-egerton-1538,Corbridge Realty,Head of Automation,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-egerton-halloran-3005,profile_url,curtis egerton halloran,Curtis Egerton-Halloran,linkedin.com/in/curtis-egerton-halloran-3005,Bellchamber Media,Principal Architect,Elena Duvall,1,1,False,0
linkedin.com/in/curtis-egerton-norrington-4186,profile_url,curtis egerton norrington,Curtis Egerton-Norrington,linkedin.com/in/curtis-egerton-norrington-4186,Quintrell Advisory,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-fairweather-7437,profile_url,curtis fairweather,Curtis Fairweather,linkedin.com/in/curtis-fairweather-7437,Vespermill Analytics,Director of IT,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-fairweather-wexford-6462,profile_url,curtis fairweather wexford,Curtis Fairweather-Wexford,linkedin.com/in/curtis-fairweather-wexford-6462,Tannerly Design,Product Director,Owen Trask,1,1,False,0
linkedin.com/in/curtis-falkenrath-9634,profile_url,curtis falkenrath,Curtis Falkenrath,linkedin.com/in/curtis-falkenrath-9634,Corbridge Realty,Director of IT,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-ferreira-5562,profile_url,curtis ferreira,Curtis Ferreira,linkedin.com/in/curtis-ferreira-5562,Rooksby Legal,Head of Developer Productivity,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-fontaine-6839,profile_url,curtis fontaine,Curtis Fontaine,linkedin.com/in/curtis-fontaine-6839,Highmoor Cycles,Director of IT,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-gluckstein-2136,profile_url,curtis gluckstein,Curtis Glückstein,linkedin.com/in/curtis-gluckstein-2136,Rooksby Legal,Staff Engineer,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-grimsby-5559,profile_url,curtis grimsby,Curtis Grimsby,linkedin.com/in/curtis-grimsby-5559,Yardley Print,Head of Platform Engineering,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-halloran-5749,profile_url,curtis halloran,Curtis Halloran,linkedin.com/in/curtis-halloran-5749,Vespermill Analytics,Chief Data Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-havercamp-5314,profile_url,curtis havercamp,Curtis Havercamp,linkedin.com/in/curtis-havercamp-5314,Quintrell Advisory,Director of Software Engineering,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-hojgaard-5044,profile_url,curtis hojgaard,Curtis Højgaard,linkedin.com/in/curtis-hojgaard-5044,Quintrell Advisory,Product Director,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-ibarra-9181,profile_url,curtis ibarra,Curtis Ibarra,linkedin.com/in/curtis-ibarra-9181,Ondermark Consulting,Product Director,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-ingleby-1339,profile_url,curtis ingleby,Curtis Ingleby,linkedin.com/in/curtis-ingleby-1339,Vespermill Analytics,Platform Lead,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-isenberg-2863,profile_url,curtis isenberg,Curtis Isenberg,linkedin.com/in/curtis-isenberg-2863,Tannerly Design,Director of IT,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-jarrold-1863,profile_url,curtis jarrold,Curtis Jarrold,linkedin.com/in/curtis-jarrold-1863,Ondermark Consulting,Engineering Manager,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-jarrold-ferreira-5781,profile_url,curtis jarrold ferreira,Curtis Jarrold-Ferreira,linkedin.com/in/curtis-jarrold-ferreira-5781,Highmoor Cycles,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-kettleborough-6857,profile_url,curtis kettleborough,Curtis Kettleborough,linkedin.com/in/curtis-kettleborough-6857,Fairbourne Fitness,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-kirkbride-7910,profile_url,curtis kirkbride,Curtis Kirkbride,linkedin.com/in/curtis-kirkbride-7910,Pale Harbour Studio,Platform Lead,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-lindqvist-3167,profile_url,curtis lindqvist,Curtis Lindqvist,linkedin.com/in/curtis-lindqvist-3167,Garrowby Books,SVP Digital,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-lindqvist-rushworth-9365,profile_url,curtis lindqvist rushworth,Curtis Lindqvist-Rushworth,linkedin.com/in/curtis-lindqvist-rushworth-9365,Underwood & Vale,Head of Automation,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-lomsadze-6392,profile_url,curtis lomsadze,Curtis Lomsadze,linkedin.com/in/curtis-lomsadze-6392,Whitlock Staffing,VP Engineering,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-marchetti-3117,profile_url,curtis marchetti,Curtis Marchetti,linkedin.com/in/curtis-marchetti-3117,Priorwood Chemicals,VP Enterprise Architecture,Elena Duvall; Tomás Beckett,2,1,False,0
linkedin.com/in/curtis-merriweather-3996,profile_url,curtis merriweather,Curtis Merriweather,linkedin.com/in/curtis-merriweather-3996,Ambrose Trading,Director of IT,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-mkhize-6768,profile_url,curtis mkhize,Curtis Mkhize,linkedin.com/in/curtis-mkhize-6768,Ambrose Trading,Staff Engineer,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-nakashima-8016,profile_url,curtis nakashima,Curtis Nakashima,linkedin.com/in/curtis-nakashima-8016,Whitlock Staffing,VP Enterprise Architecture,Dana Whitfield,1,1,False,0
name:curtis norrington,name_only,curtis norrington,Curtis Norrington,,Vespermill Analytics,Platform Lead,Marcus Aldridge,1,1,False,1
linkedin.com/in/curtis-okonkwo-9832,profile_url,curtis okonkwo,Curtis Okonkwo,linkedin.com/in/curtis-okonkwo-9832,Yardley Print,Staff Engineer,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-okonkwo-balogun-8266,profile_url,curtis okonkwo balogun,Curtis Okonkwo-Balogun,linkedin.com/in/curtis-okonkwo-balogun-8266,Elmsworth Tutors,Head of Innovation,Owen Trask,1,1,False,0
linkedin.com/in/curtis-oldfield-1648,profile_url,curtis oldfield,Curtis Oldfield,linkedin.com/in/curtis-oldfield-1648,Corbridge Realty,Staff Engineer,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-oldfield-brenneman-8983,profile_url,curtis oldfield brenneman,Curtis Oldfield-Brenneman,linkedin.com/in/curtis-oldfield-brenneman-8983,Elmsworth Tutors,Head of Innovation,Owen Trask,1,1,False,0
linkedin.com/in/curtis-oldfield-yarrow-3929,profile_url,curtis oldfield yarrow,Curtis Oldfield-Yarrow,linkedin.com/in/curtis-oldfield-yarrow-3929,Whitlock Staffing,Chief Data Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-oyelaran-7028,profile_url,curtis oyelaran,Curtis Oyelaran,linkedin.com/in/curtis-oyelaran-7028,Whitlock Staffing,Platform Lead,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-petrossian-4473,profile_url,curtis petrossian,Curtis Petrossian,linkedin.com/in/curtis-petrossian-4473,Dunmowe Travel,"Senior Manager, Engineering",Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-prendergast-7943,profile_url,curtis prendergast,Curtis Prendergast,linkedin.com/in/curtis-prendergast-7943,Apex Logistics,SVP Digital,Elena Duvall; Marcus Aldridge,2,1,False,0
name:curtis quillane,name_only,curtis quillane,Curtis Quillane,,Vespermill Analytics,Director of IT,Priya Raghunathan,1,1,False,1
linkedin.com/in/curtis-rushworth-6137,profile_url,curtis rushworth,Curtis Rushworth,linkedin.com/in/curtis-rushworth-6137,Tannerly Design,Staff Engineer,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-rushworth-norrington-3758,profile_url,curtis rushworth norrington,Curtis Rushworth-Norrington,linkedin.com/in/curtis-rushworth-norrington-3758,Dunmowe Travel,Chief Information Officer,Elena Duvall,1,1,False,0
linkedin.com/in/curtis-salcedo-6983,profile_url,curtis salcedo,Curtis Salcedo,linkedin.com/in/curtis-salcedo-6983,Vespermill Analytics,VP Data & Analytics,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-salcedo-thackeray-6395,profile_url,curtis salcedo thackeray,Curtis Salcedo-Thackeray,linkedin.com/in/curtis-salcedo-thackeray-6395,Xanthe Labs,Principal Architect,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-sandoval-8107,profile_url,curtis sandoval,Curtis Sandoval,linkedin.com/in/curtis-sandoval-8107,Rooksby Legal,Product Director,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-thackeray-3996,profile_url,curtis thackeray,Curtis Thackeray,linkedin.com/in/curtis-thackeray-3996,Xanthe Labs,Product Director,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-underhill-7560,profile_url,curtis underhill,Curtis Underhill,linkedin.com/in/curtis-underhill-7560,Tannerly Design,Staff Engineer,Priya Raghunathan,1,1,False,0
linkedin.com/in/curtis-vandermolen-7903,profile_url,curtis vandermolen,Curtis Vandermolen,linkedin.com/in/curtis-vandermolen-7903,Zenner Foods,Program Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-vasquez-9941,profile_url,curtis vasquez,Curtis Vasquez,linkedin.com/in/curtis-vasquez-9941,Zenner Foods,Head of Innovation,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-vasquez-cathcart-7723,profile_url,curtis vasquez cathcart,Curtis Vasquez-Cathcart,linkedin.com/in/curtis-vasquez-cathcart-7723,Rooksby Legal,Staff Engineer,Elena Duvall,1,1,False,0
linkedin.com/in/curtis-wexford-8281,profile_url,curtis wexford,Curtis Wexford,linkedin.com/in/curtis-wexford-8281,Fairbourne Fitness,Director of IT,Tomás Beckett,1,1,False,0
linkedin.com/in/curtis-wolstenholme-9580,profile_url,curtis wolstenholme,Curtis Wolstenholme,linkedin.com/in/curtis-wolstenholme-9580,Highmoor Cycles,Engineering Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-yarrow-7053,profile_url,curtis yarrow,Curtis Yarrow,linkedin.com/in/curtis-yarrow-7053,Ambrose Trading,Head of Innovation,Dana Whitfield,1,1,False,0
linkedin.com/in/curtis-zettergren-1649,profile_url,curtis zettergren,Curtis Zettergren,linkedin.com/in/curtis-zettergren-1649,Quintrell Advisory,Chief Technology Officer,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-zubkov-3901,profile_url,curtis zubkov,Curtis Zubkov,linkedin.com/in/curtis-zubkov-3901,Highmoor Cycles,Program Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/curtis-zubkov-wexford-7362,profile_url,curtis zubkov wexford,Curtis Zubkov-Wexford,linkedin.com/in/curtis-zubkov-wexford-7362,Vespermill Analytics,Director of Software Engineering,Owen Trask,1,1,False,0
name:dana achterberg,name_only,dana achterberg,Dana Achterberg,,Corbridge Realty,"Senior Manager, Engineering",Priya Raghunathan,1,1,False,1
linkedin.com/in/dana-ashdown-2996,profile_url,dana ashdown,Dana Ashdown,linkedin.com/in/dana-ashdown-2996,Pale Harbour Studio,Platform Lead,Marcus Aldridge,1,1,False,0
linkedin.com/in/dana-balogun-8957,profile_url,dana balogun,Dana Balogun,linkedin.com/in/dana-balogun-8957,Highmoor Cycles,"Senior Manager, Engineering",Marcus Aldridge,1,1,False,0
linkedin.com/in/dana-bellinger-9016,profile_url,dana bellinger,Dana Bellinger,linkedin.com/in/dana-bellinger-9016,Yardley Print,Program Manager,Priya Raghunathan,1,1,False,0
linkedin.com/in/dana-bellinger-fontaine-6627,profile_url,dana bellinger fontaine,Dana Bellinger-Fontaine,linkedin.com/in/dana-bellinger-fontaine-6627,Xanthe Labs,Engineering Manager,Owen Trask,1,1,False,0
linkedin.com/in/dana-bellinger-grimsby-4506,profile_url,dana bellinger grimsby,Dana Bellinger-Grimsby,linkedin.com/in/dana-bellinger-grimsby-4506,Xanthe Labs,VP Engineering,Owen Trask,1,1,False,0
linkedin.com/in/dana-brenneman-9253,profile_url,dana brenneman,Dana Brenneman,linkedin.com/in/dana-brenneman-9253,Xanthe Labs,VP Engineering,Dana Whitfield,1,1,False,0
linkedin.com/in/dana-cardoso-7838,profile_url,dana cardoso,Dana Cardoso,linkedin.com/in/dana-cardoso-7838,Vespermill Analytics,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/dana-cathcart-5251,profile_url,dana cathcart,Dana Cathcart,linkedin.com/in/dana-cathcart-5251,Dunmowe Travel,Principal Architect,Priya Raghunathan,1,1,False,0
linkedin.com/in/dana-crowther-9381,profile_url,dana crowther,Dana Crowther,linkedin.com/in/dana-crowther-9381,Quintrell Advisory,Engineering Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/dana-dellinger-6723,profile_url,dana dellinger,Dana Dellinger,linkedin.com/in/dana-dellinger-6723,Elmsworth Tutors,Staff Engineer,Tomás Beckett,1,1,False,0
